Country,City,University Name,Program Name,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
United Kingdom,England,Imperial,Renewable Energy with AI and Data Science - Geology and Geophysics,"7,379,338 BDT / year",1 year,4.3,56,0.10%,https://www.mastersportal.com/studies/486647/renewable-energy-with-ai-and-data-science-geology-and-geophysics.html?ref=search_card
Turkey,Istanbul,Sabanci University,Computer Science and Engineering,"3,001,277 BDT / year",2 years,4.3,84,3%,https://www.mastersportal.com/studies/483835/computer-science-and-engineering.html?ref=search_card
United Kingdom,England,Bournemouth University,Cyber Security,"2,727,147 BDT / year",1 year,4.1,76,4%,https://www.mastersportal.com/studies/478203/cyber-security.html?ref=search_card
Netherlands,Amsterdam,Vrije Universiteit Amsterdam,Tinbergen Institute Research Master in Economics - Business Data Science,"2,889,975 BDT / year",2 years,4.2,149,1%,https://www.mastersportal.com/studies/486587/tinbergen-institute-research-master-in-economics-business-data-science.html?ref=search_card
United States,Ohio,University of Cincinnati,Information Technology,"3,263,919 BDT / year",2 years,4.2,17,3%,https://www.mastersportal.com/studies/107771/information-technology.html?ref=search_card
Germany,Hamburg,University of Hamburg,Intelligent Adaptive Systems,Free,2 years,4,41,1%,https://www.mastersportal.com/studies/108180/intelligent-adaptive-systems.html?ref=search_card
United States,Arkansas,University of Arkansas,Computer Science,"3,675,768 BDT / year",1 year,4.2,5,3%,https://www.mastersportal.com/studies/101899/computer-science.html?ref=search_card
United States,California,"University of California, Irvine (UCI)",Informatics,"3,413,371 BDT / year",1 year,4.4,7,1%,https://www.mastersportal.com/studies/113504/informatics.html?ref=search_card
Germany,Konstanz,University of Konstanz,Social and Economic Data Science,"481,850 BDT / year",2 years,4.7,382,2%,https://www.mastersportal.com/studies/107235/social-and-economic-data-science.html?ref=search_card
United States,California,California State University Fullerton,Information Systems,"931,988 BDT / year",1 year,4.4,8,8%,https://www.mastersportal.com/studies/100128/information-systems.html?ref=search_card
United States,Massachusetts,University of Massachusetts Lowell,Cybersecurity Studies,"3,394,015 BDT / year",1 year,5,3,5%,https://www.mastersportal.com/studies/98027/cybersecurity-studies.html?ref=search_card
United States,D.C.,George Washington University,Computer Science,"3,913,910 BDT / year",2 years,4.2,43,2%,https://www.mastersportal.com/studies/111903/computer-science.html?ref=search_card
United States,Colorado,University of Colorado Colorado Springs (UCCS),Computer Science,"2,356,676 BDT / year",2½ years,3.6,7,,https://www.mastersportal.com/studies/145017/computer-science.html?ref=search_card
Canada,Winnipeg,University of Winnipeg,Applied Computer Science and Society,"942,487 BDT / year",2 years,4.2,51,,https://www.mastersportal.com/studies/149167/applied-computer-science-and-society.html?ref=search_card
United States,Texas,Lamar University,Computer Science,"1,306,842 BDT / year",1 year,4.3,3,,https://www.mastersportal.com/studies/144626/computer-science.html?ref=search_card
United States,Louisiana,Louisiana Tech University,Computer Science,"778,862 BDT / year",1 year,3.8,5,,https://www.mastersportal.com/studies/140963/computer-science.html?ref=search_card
United States,Texas,Sam Houston State University,Geographic Information Systems,"2,210,900 BDT / year",1 year,4.7,7,10%,https://www.mastersportal.com/studies/139364/geographic-information-systems.html?ref=search_card
Netherlands,Amsterdam,Vrije Universiteit Amsterdam,Computer Science (Joint Degree UvA-VU) - Software Engineering and Green IT,"3,404,531 BDT / year",2 years,4.2,149,1%,https://www.mastersportal.com/studies/155389/computer-science-software-engineering-and-green-it.html?ref=search_card
United States,Virginia,Christopher Newport University,Applied Physics and Computer Science,"4,733,442 BDT / year",1 year,4.5,2,,https://www.mastersportal.com/studies/187489/applied-physics-and-computer-science.html?ref=search_card
United States,Minnesota,University of Minnesota,Management of Technology,"3,992,556 BDT / year","1 year, 9 months",4.2,48,3%,https://www.mastersportal.com/studies/184333/management-of-technology.html?ref=search_card
United Kingdom,England,University of East London,Information Security and Digital Forensics,"2,685,437 BDT / year",1 year,4.3,165,8%,https://www.mastersportal.com/studies/160519/information-security-and-digital-forensics.html?ref=search_card
United States,New Jersey,Kean University,Computer Information Systems,"4,101,337 BDT / year",1 year,4.3,6,,https://www.mastersportal.com/studies/172326/computer-information-systems.html?ref=search_card
Canada,Kingston,Royal Military College of Canada,Mathematics and Computer Science,"1,416,424 BDT / year",2 years,3.5,2,,https://www.mastersportal.com/studies/189927/mathematics-and-computer-science.html?ref=search_card
United States,Virginia,Norfolk State University,Computer Science,"2,727,609 BDT / year",1 year,4.6,14,,https://www.mastersportal.com/studies/192177/computer-science.html?ref=search_card
Germany,Cottbus,The Brandenburg University of Technology Cottbus - Senftenberg,Cyber Security,"105,167 BDT / year",2 years,3.4,14,8%,https://www.mastersportal.com/studies/188891/cyber-security.html?ref=search_card
Malaysia,Kuala Lumpur,University of Malaya,Science Education with Information Technology,"790,708 BDT / year",1½ year,4.2,76,2%,https://www.mastersportal.com/studies/186778/science-education-with-information-technology.html?ref=search_card
Canada,Thunder Bay,Lakehead University,Electrical and Computer Engineering,"1,909,304 BDT / year",2 years,4,57,8%,https://www.mastersportal.com/studies/150077/electrical-and-computer-engineering.html?ref=search_card
Finland,Helsinki,Aalto University,ICT Innovation (EIT Digital Master School) - Human Computer Interaction and Design,"2,114,616 BDT / year",2 years,3.8,242,2%,https://www.mastersportal.com/studies/154634/ict-innovation-human-computer-interaction-and-design.html?ref=search_card
Canada,Thunder Bay,Lakehead University,Computer Science,"1,477,252 BDT / year",1 year,4,57,8%,https://www.mastersportal.com/studies/150067/computer-science.html?ref=search_card
United Kingdom,England,University of East London,Data Science,"2,685,437 BDT / year",1 year,4.3,165,8%,https://www.mastersportal.com/studies/155695/data-science.html?ref=search_card
United States,Alabama,Troy University,Computer Science - Computer Network and Security (Thesis),"3,840,409 BDT / year",1 year,4,8,,https://www.mastersportal.com/studies/212268/computer-science-computer-network-and-security.html?ref=search_card
Russia,Saint Petersburg,ITMO University,Bioinformatics and Systems Biology,"881,763 BDT / year",2 years,4,34,4%,https://www.mastersportal.com/studies/212794/bioinformatics-and-systems-biology.html?ref=search_card
United States,Tennessee,The University of Tennessee at Chattanooga,Computer Science (Data Science and Artificial Intelligence),"3,429,051 BDT / year",1 year,4.3,3,,https://www.mastersportal.com/studies/146945/computer-science.html?ref=search_card
Turkey,Istanbul,Bahçeşehir University (BAU),Computer Engineering (Thesis),"1,715,015 BDT / year",2 years,4.1,194,6%,https://www.mastersportal.com/studies/166129/computer-engineering.html?ref=search_card
United Kingdom,England,University of Oxford,Mathematical Sciences,"6,617,341 BDT / year",9 months,4.2,128,0.10%,https://www.mastersportal.com/studies/208559/mathematical-sciences.html?ref=search_card
United States,New Jersey,Fairleigh Dickinson University,Cybersecurity and Information Assurance,"3,645,633 BDT / year",1 year,4,9,,https://www.mastersportal.com/studies/194155/cybersecurity-and-information-assurance.html?ref=search_card
United Kingdom,Wales,Wrexham University,Computing,"2,005,255 BDT / year",1 year,4.2,28,,https://www.mastersportal.com/studies/216581/computing.html?ref=search_card
United States,Alabama,Tuskegee University,Information Systems and Computer Security,"2,777,345 BDT / year",1 year,,,,https://www.mastersportal.com/studies/192577/information-systems-and-computer-security.html?ref=search_card
United States,Maryland,Johns Hopkins University,Health Sciences Informatics - Research,"7,913,571 BDT / year",2 years,4.6,49,0.10%,https://www.mastersportal.com/studies/211617/health-sciences-informatics-research.html?ref=search_card
United States,Illinois,Bradley University,Computer Information Systems,"4,171,162 BDT / year",1 year,4.4,59,,https://www.mastersportal.com/studies/183740/computer-information-systems.html?ref=search_card
United States,Connecticut,Sacred Heart University,Computer Science,"2,837,125 BDT / year","1 year, 3 months",4.1,13,,https://www.mastersportal.com/studies/199502/computer-science.html?ref=search_card
United States,Washington,Central Washington University,Geological Sciences,"3,270,534 BDT / year",1 year,4.6,16,,https://www.mastersportal.com/studies/190983/geological-sciences.html?ref=search_card
United Kingdom,Scotland,University of St Andrews,Data-Intensive Analysis,"4,811,007 BDT / year",1 year,4.4,21,2%,https://www.mastersportal.com/studies/231471/data-intensive-analysis.html?ref=search_card
Finland,Helsinki,Aalto University,Security and Cloud Computing (SECCLO) (Erasmus Mundus),"2,396,565 BDT / year",2 years,3.8,242,2%,https://www.mastersportal.com/studies/226865/security-and-cloud-computing.html?ref=search_card
United States,Kentucky,Kentucky State University,Computer Science,"741,132 BDT / year",3 years,3,5,,https://www.mastersportal.com/studies/219243/computer-science.html?ref=search_card
Ireland,Dublin,Dublin Business School,Data Analytics,"2,044,129 BDT / year",1 year,4.5,65,,https://www.mastersportal.com/studies/229197/data-analytics.html?ref=search_card
China,Ningbo,University of Nottingham Ningbo China,International Management (Business Analytics),"2,240,721 BDT / year",1 year,3,1,,https://www.mastersportal.com/studies/234126/international-management.html?ref=search_card
United States,Illinois,Northwestern University,Artificial Intelligence,"5,628,436 BDT / year","1 year, 3 months",4.2,55,0.50%,https://www.mastersportal.com/studies/221596/artificial-intelligence.html?ref=search_card
United States,New Jersey,Stevens Institute of Technology,Cybersecurity,"5,633,336 BDT / year",1 year,4.2,13,4%,https://www.mastersportal.com/studies/159824/cybersecurity.html?ref=search_card
United States,Louisiana,Southeastern Louisiana University,Integrated Science and Technology - Specialist or Generalist,"818,797 BDT / year",1 year,4.7,10,,https://www.mastersportal.com/studies/169340/integrated-science-and-technology-specialist-or-generalist.html?ref=search_card
Switzerland,Zürich,University of Zurich,People-Oriented Computing,"218,164 BDT / year",1½ year,4.2,56,2%,https://www.mastersportal.com/studies/224761/people-oriented-computing.html?ref=search_card
United States,Georgia,Georgia Institute of Technology,Cybersecurity,"3,934,245 BDT / year",1 year,4.3,44,0.50%,https://www.mastersportal.com/studies/221025/cybersecurity.html?ref=search_card
Russia,Saint Petersburg,ITMO University,Information Security,"881,763 BDT / year",2 years,4,34,4%,https://www.mastersportal.com/studies/153934/information-security.html?ref=search_card
Finland,Helsinki,Aalto University,"Computer, Communication and Information Sciences - Communications Engineering","2,396,565 BDT / year",2 years,3.8,242,2%,https://www.mastersportal.com/studies/154678/computer-communication-and-information-sciences-communications-engineering.html?ref=search_card
Finland,Helsinki,Aalto University,"Computer, Communication and Information Sciences - Acoustics and Audio Technology","2,396,565 BDT / year",2 years,3.8,242,2%,https://www.mastersportal.com/studies/154677/computer-communication-and-information-sciences-acoustics-and-audio-technology.html?ref=search_card
United States,Louisiana,Louisiana Tech University,Computer Science,"778,862 BDT / year",1 year,3.8,5,,https://www.mastersportal.com/studies/140963/computer-science.html?ref=search_card
United States,Texas,Sam Houston State University,Geographic Information Systems,"2,210,900 BDT / year",1 year,4.7,7,10%,https://www.mastersportal.com/studies/139364/geographic-information-systems.html?ref=search_card
